locationId,rate,2015,2016,2017
06203,Total de víctimas de otros delitos contra la integridad sexual,3,0,2
06203,Total de hechos de amenazas,62,76,67
06203,Total de delitos contra la propiedad,167,189,205
06203,Total de hechos de robos,33,31,35
06203,Total de hechos de hurtos,48,81,83
06203,Total de víctimas de trata de personas por provincia de origen,,,
06203,Total de víctimas de trata de personas por provincia de captación,,,
06231,Total de hechos delictivos,276,220,171
06231,Total de víctimas de delitos contra las personas,89,68,27
06231,Total de víctimas de homicidios dolosos,1,0,0
06231,Total de víctimas de lesiones dolosas,62,34,16
06231,Total de víctimas de muertes en siniestros viales,0,2,0
06231,Total de víctimas de lesiones culposas en siniestros viales,0,26,9
06231,Total de víctimas de violaciones,0,1,2
06231,Total de víctimas de otros delitos contra la integridad sexual,6,0,1
06231,Total de hechos de amenazas,45,24,12
06231,Total de delitos contra la propiedad,127,74,65
06231,Total de hechos de robos,27,9,6
06231,Total de hechos de hurtos,39,38,30
06231,Total de víctimas de trata de personas por provincia de origen,,,
06231,Total de víctimas de trata de personas por provincia de captación,,,
06238,Total de hechos delictivos,648,624,671
06238,Total de víctimas de delitos contra las personas,79,126,147
06238,Total de víctimas de homicidios dolosos,1,1,1
06238,Total de víctimas de lesiones dolosas,47,55,42
06238,Total de víctimas de muertes en siniestros viales,0,2,0
06238,Total de víctimas de lesiones culposas en siniestros viales,26,53,98
06238,Total de víctimas de violaciones,0,2,4
06238,Total de víctimas de otros delitos contra la integridad sexual,3,0,1
06238,Total de hechos de amenazas,46,37,40
06238,Total de delitos contra la propiedad,290,316,218
06238,Total de hechos de robos,107,132,66
06238,Total de hechos de hurtos,101,128,88
06238,Total de víctimas de trata de personas por provincia de origen,,,
06238,Total de víctimas de trata de personas por provincia de captación,,,
06245,Total de hechos delictivos,1536,1732,1961
06245,Total de víctimas de delitos contra las personas,415,549,653
06245,Total de víctimas de homicidios dolosos,1,3,8
06245,Total de víctimas de lesiones dolosas,216,251,268
06245,Total de víctimas de muertes en siniestros viales,0,5,2
06245,Total de víctimas de lesiones culposas en siniestros viales,100,237,350
06245,Total de víctimas de violaciones,0,7,5
06245,Total de víctimas de otros delitos contra la integridad sexual,3,1,4
06245,Total de hechos de amenazas,264,185,195
06245,Total de delitos contra la propiedad,606,758,685
06245,Total de hechos de robos,200,299,272
06245,Total de hechos de hurtos,189,233,174
06245,Total de víctimas de trata de personas por provincia de origen,,,
06245,Total de víctimas de trata de personas por provincia de captación,,,
06252,Total de hechos delictivos,6552,6639,7526
06252,Total de víctimas de delitos contra las personas,1399,1485,1640
06252,Total de víctimas de homicidios dolosos,16,12,10
06252,Total de víctimas de lesiones dolosas,864,756,888
